Rank,Shots pg,Discipline,Possession,PassSuccess,AerialsWon,Rating,W,D,L,GF,GA,GD,Points
2,15.1,404,56.9,84.2,15.2,7.08,20,11,7,65,36,29,71
1,13.7,483,44.8,70.5,18.8,7.06,23,12,3,68,36,32,81
3,17.3,720,55.3,80.5,14.3,7.01,19,13,6,69,35,34,70
4,16.2,610,55.2,83.1,15.7,7.01,19,9,10,71,41,30,66
7,14.7,585,49.1,77.6,17.7,6.92,16,14,8,65,51,14,62
6,13.7,576,49.3,77.7,19.3,6.91,18,9,11,59,41,18,63
8,16.6,613,55,80.2,16.5,6.91,16,12,10,63,50,13,60
11,12.9,445,51.5,81.4,12.9,6.88,11,14,13,59,55,4,47
10,13.8,585,54.4,82.5,14.1,6.87,12,14,12,59,53,6,50
5,11.3,651,55.9,82.3,13.1,6.83,19,9,10,49,35,14,66
13,11.7,733,46.3,72.6,17.4,6.8,12,9,17,40,50,-10,45
15,12.3,602,46.8,74.4,17.8,6.76,11,9,18,39,51,-12,42
17,11.6,642,43.3,71,17.3,6.76,9,12,17,48,62,-14,39
12,11.6,601,52,80.9,13.7,6.75,12,11,15,42,52,-10,47
9,11,514,50,79.1,16.4,6.74,14,9,15,41,55,-14,51
18,10.4,605,47.4,76.6,13.9,6.73,9,10,19,44,65,-21,37
14,10.2,653,42.2,70,19.1,6.72,10,13,15,34,48,-14,43
16,12.2,531,51,79.8,15.3,6.71,11,9,18,45,67,-22,42
20,10,753,47.3,77.8,19.1,6.69,3,8,27,27,76,-49,17
19,11,613,46.5,73.6,17.4,6.61,9,7,22,39,67,-28,34
