Rank,Teams,Shots pg,Discipline,Possession,PassSuccess,AerialsWon,Rating,W,D,L,GF,GA,GD,Points
,Chelsea,15.3,72,54,83.9,14.2,7.05,30,4,5,85,33,52,93
,Tottenham,17.6,62,57.4,82.5,15,7.04,26,8,4,86,26,60,86
,Man city,16.7,71.4,60.9,85.5,15.4,7.01,62,9,6,80,39,41,78
,Man Utd,15.6,78.2,55,84.2,16.4,6.99,18,15,5,54,29,25,69
,Arsenal,14.9,68.3,56.5,83.8,16.7,6.99,23,6,9,77,44,33,75
,Liverpool,16.8,54,58.3,82.4,17.3,6.98,22,10,6,78,42,36,76
,Everton,13.2,72.2,51.5,79,17.5,6.91,17,10,11,62,44,18,61
,Westham,13.1,78.5,48.4,78.2,19.1,6.76,12,9,17,47,64,-17,45
,Southampton,14.5,59.2,53.1,80.5,17.1,6.76,12,10,16,41,48,-7,46
,Stoke,11.2,70.2,47.2,75.3,21.3,6.76,11,11,16,41,56,-15,44
,Crystal Palace,11.6,77,46.8,73.4,21.9,6.76,12,5,21,50,63,-13,41
,Bournemouth,11.9,52.3,51.3,81.3,14.4,6.74,12,10,16,55,67,-12,46
,Middlesbrough,9.2,77.1,47.9,77.3,20.3,6.74,5,13,20,27,53,-26,28
,Watford,10.3,65.2,42.7,67.8,24,6.72,11,7,20,39,55,-16,40
,Leichester city,11.4,72.1,43.7,70.1,20.2,6.71,12,8,18,48,63,-15,44
,West Brom,10.5,80,40.7,70.4,17.7,6.69,12,9,17,43,51,-8,45
,Swansea City,10.7,56,48.3,78.9,17.8,6.68,12,5,21,45,70,-25,41
,Watford,11.1,84.5,47,74.1,19.2,6.65,11,7,20,40,68,-28,40
,Sunderland,10.2,78.4,42.8,72.6,16.2,6.62,6,6,26,29,69,-40,24
,Hull City,10.4,67.5,46.7,77.4,15.5,6.6,9,7,22,37,80,-43,34
